product_id,upc,name,brand,category,price_usd,size,cal,protein_g,fiber_g,fat_g,carbs_g,vitC_mg,vitA_mcg,nutrition_score,id
0003940001880,0003940001880,Bush's Best Bush's Black Beans 15 oz,Bush's Best,Legumes,1.25,15 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
0007203641115,0007203641115,Harris Teeter™ Light Red Kidney Beans,Harris Teeter,Legumes,1.09,15.5 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
0007203674416,0007203674416,Harris Teeter® No Salt Added Light Red Kidney Beans,Harris Teeter,Legumes,1.09,15.5 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
0007203674417,0007203674417,Harris Teeter® Garbanzo Beans Chick Peas,Harris Teeter,Legumes,1.09,15 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37
0007203641993,0007203641993,Harris Teeter Garbanzo Beans,Harris Teeter,Legumes,1.09,16 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
0007203642074,0007203642074,Harris Teeter™ Dry Lentils,Harris Teeter,Legumes,1.89,16 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
0001111086292,0001111086292,Simple Truth Organic® Dry Green Lentils,Simple Truth Organic,Legumes,3.59,16 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
0001111082294,0001111082294,Simple Truth Organic® Extra Firm Tofu Twin Pack,Simple Truth Organic,Legumes,2.99,2 ct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
0001111091342,0001111091342,Simple Truth Organic® Extra Firm Tofu,Simple Truth Organic,Legumes,3.0,14 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
0007203698718,0007203698718,Harris Teeter® Brown Rice,Harris Teeter,Grains,1.79,2 lbs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
0007203673690,0007203673690,Harris Teeter® 90 Second Brown Rice,Harris Teeter,Grains,1.99,8.8 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
0001740010078,0001740010078,"Success Boil-in-Bag Whole Grain Brown Rice, Non-GMO, Gluten-Free, , 4 Pre-Portioned Bags",Success,Grains,3.59,14 onz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
0001111002805,0001111002805,Simple Truth Organic® 100% Whole Grain Rolled 1 Minute Oats,Simple Truth Organic,Grains,3.69,18 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
0003000058008,0003000058008,Quaker® Protein Old Fashioned Rolled Oats,Quaker,Grains,5.29,16 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
0003997803375,0003997803375,Bob's Red Mill Gluten Free Old Fashioned Rolled Oats,Bob's Red Mill,Grains,10.39,32 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
0007225003712,0007225003712,Nature's Own 100% Whole Wheat Bread,Nature's Own,Grains,4.59,20 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
0007341001375,0007341001375,Arnold 100% Whole Grain Wheat Bread,Arnold,Grains,2.64,24 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
0007203690012,0007203690012,Harris Teeter® 100% Whole Wheat Sliced Bread,Harris Teeter,Grains,2.5,20 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51
0007680828008,0007680828008,"Barilla Spaghetti Pasta, Quality Non-GMO and Kosher Certified Pasta",Barilla,Grains,1.33,16 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
0074747910018,0074747910018,Rao'S Homemade® Thin Spaghetti Pasta,Rao's,Grains,2.5,16 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
0001740014075,0001740014075,Success Boil-in-Bag Tri-Color Quinoa,Success,Grains,3.39,12 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54
0001111091238,0001111091238,Simple Truth Organic® Quinoa,Simple Truth Organic,Grains,4.99,16 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55
0002392390002,0002392390002,Earth's Best Organic Whole Grain Multi-Grain Baby Cereal,Earth's Best,Grains,4.99,8 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
0007203674278,0007203674278,Harris Teeter® Whole Grain Raisin Bran Cereal,Harris Teeter,Grains,3.0,18.7 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
0007127940741,0007127940741,Fresh Express® Gourmet Fresh Salad® Spinach & Bacon Salad Kit,Fresh Express,Produce,4.99,4.8 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58
0007203688213,0007203688213,Baby Spinach Bag,,Produce,3.0,6 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59
0000000003082,0000000003082,Fresh Broccoli & Cauliflower Broccoli Crown,Fresh Broccoli & Cauliflower,Produce,2.29,1 lb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
0001111091659,0001111091659,Simple Truth Organic® Cut and Peeled Baby Carrots Bag,Simple Truth Organic,Produce,2.49,1 lb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61
0007878352451,0007878352451,Cal-Organic™ Organic Shredded Carrots Bag,Cal-Organic,Produce,3.99,10 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62
0000000094011,0000000094011,Fresh Bananas Fresh Bunch of Organic Bananas – 5-7 Bananas,Fresh Bananas,Produce,0.79,1 lb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63
0000000004011,0000000004011,Fresh Bananas Fresh Bunch of Bananas – 5-7 Bananas,Fresh Bananas,Produce,0.55,1 lb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64
0001111018188,0001111018188,Harris Teeter Farmers Market Fuji Apples - 3 Pound Bag,,Produce,3.99,3 lb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65
0001111018999,0001111018999,Simple Truth Organic® Pink Lady Apples – 2 Pound Bag,Simple Truth Organic,Produce,5.49,2 lb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66
0000000004816,0000000004816,Fresh Potatoes Sweet Potato,Fresh Potatoes,Produce,1.69,1 lb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67
0063888212577,0063888212577,Stahlbush Island Farms Sweet Potatoes,Stahlbush Island Farms,Produce,3.99,10 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68
0000000004627,0000000004627,Kale Lettuce Bunch,,Produce,2.69,1 ct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69
0001111018170,0001111018170,Kale Bag,,Produce,2.99,16 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70
0003338322101,0003338322101,Fresh Berries Fresh Blueberries - 1 PT Clamshell,Fresh Berries,Produce,6.49,1 pt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71
0003338322241,0003338322241,Fresh Berries Fresh Blueberries - 18 OZ - Clamshell,Fresh Berries,Produce,9.99,18 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72
0007203671652,0007203671652,Harris Teeter™ Sweet Green Peas,Harris Teeter,Frozen,1.79,12 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73
0001111001098,0001111001098,Simple Truth Organic Simple Truth® Frozen Green Peas,Simple Truth Organic,Frozen,3.19,12 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
0007203671712,0007203671712,Harris Teeter™ Steamable Baby Broccoli Florets,Harris Teeter,Frozen,1.67,12 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
0001450002183,0001450002183,"Birds Eye Steamfresh Broccoli Florets, Frozen Vegetables",Birds Eye,Frozen,2.79,10.800 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76
0007203671663,0007203671663,Harris Teeter® Steamable Mixed Vegetables,Harris Teeter,Frozen,1.25,12 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
0001450002128,0001450002128,"Birds Eye Steamfresh Mixed Vegetables, Frozen Vegetables",Birds Eye,Frozen,2.58,10 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78
0082471033315,0082471033315,Pier 33 Gourmet Boneless Skin-On Farmed Atlantic Salmon Portions,Pier 33 Gourmet,Frozen,15.99,24 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
0084020800000,0084020800000,Premier Packing Frozen Wild Alaska Sockeye Salmon Portions,,Frozen,19.99,24 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80
0001111003553,0001111003553,Simple Truth Organic® Frozen Edamame,Simple Truth Organic,Frozen,3.19,12 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81
0007056097871,0007056097871,Pictsweet Farms® Steam'ables® Frozen Shelled Edamame,Pictsweet Farms,Frozen,3.0,8 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82
0007203641072,0007203641072,Harris Teeter® Petite Diced Tomatoes,Harris Teeter,Canned,1.39,14.5 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83
0007203641055,0007203641055,Harris Teeter® Diced Tomatoes,Harris Teeter,Canned,1.39,14.5 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84
0007203641182,0007203641182,Harris Teeter® No Salt Added Supersweet Golden Whole Kernel Corn,Harris Teeter,Canned,1.49,15.25 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85
0007203641181,0007203641181,Harris Teeter™ Supersweet Whole Kernel Golden Corn,Harris Teeter,Canned,1.49,15.25 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86
0002700039005,0002700039005,Hunt's Tomato Sauce,Hunt's,Canned,0.99,8 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87
0007203641210,0007203641210,Harris Teeter™ Tomato Sauce,Harris Teeter,Canned,0.79,8 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88
0007203632014,0007203632014,Harris Teeter Extra Virgin Olive Oil,Harris Teeter,Pantry,6.99,16.9 fl oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89
0007203631060,0007203631060,Harris Teeter® Extra Virgin Olive Oil,Harris Teeter,Pantry,8.99,26 fl oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90
0007203673502,0007203673502,Harris Teeter™ Lightly Salted Roasted Almonds,Harris Teeter,Pantry,4.99,9 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91
0007203673505,0007203673505,Harris Teeter™ Natural Whole Almonds,Harris Teeter,Pantry,4.99,9 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92
0007203673968,0007203673968,Harris Teeter™ Walnuts Halves and Pieces,Harris Teeter,Pantry,5.99,8 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93
0007203688114,0007203688114,Harris Teeter Farmers Market™ Walnut Meats,Harris Teeter,Pantry,5.0,10 oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
0002500013678,0002500013678,Simply® Pulp-Free Orange Juice Bottle,Simply,Beverages,5.49,46 fl oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95
0007203673270,0007203673270,Harris Teeter™ Original No Pulp 100% Orange Juice,Harris Teeter,Beverages,4.49,52 fl oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96
0007203698756,0007203698756,Harris Teeter Unsweetened Vanilla Almondmilk,Harris Teeter,Beverages,2.99,1/2 gal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97
0007203670735,0007203670735,Harris Teeter™ Original Unsweetened Almondmilk,Harris Teeter,Beverages,2.99,1/2 gal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98
